,     Extent,time,xco2,xch4
244,10.833,2003-11-26,375.0573,1744.2721
245,10.918,2003-11-27,375.43286,1747.7635
246,11.004,2003-11-28,375.86199999999997,1743.6649
247,11.141,2003-11-29,374.97754,1747.1361
248,11.171,2003-11-30,374.56937,1742.4135
249,11.327,2003-12-01,375.65515,1741.1292
250,11.402,2003-12-02,375.18448,1749.0267
251,11.581,2003-12-03,375.2998,1737.1295
252,11.896,2003-12-07,373.87805,1737.5809
253,11.987,2003-12-08,375.90677,1740.2773
254,12.063,2003-12-09,375.8117,1735.6632
255,12.129,2003-12-10,375.3025,1738.2034
256,12.26,2003-12-11,375.95517,1737.8737
257,12.397,2003-12-12,375.09396,1741.2385
258,12.436,2003-12-13,375.25787,1735.715
259,12.503,2003-12-14,376.3008,1735.5524
260,12.625,2003-12-15,375.61157000000003,1733.2679999999998
261,12.752,2003-12-16,375.71567000000005,1735.8762
262,12.881,2003-12-17,376.13034,1734.8593
263,12.918,2003-12-18,374.75473,1743.8376
264,13.749,2004-01-08,376.20422,1718.5403
265,13.794,2004-01-09,375.22067000000004,1721.4766
266,13.842,2004-01-10,375.02625,1725.1392
267,13.917,2004-01-11,375.9094,1716.8345
268,13.991,2004-01-12,376.00662,1726.4886
269,14.075,2004-01-13,376.51178,1719.4009
270,14.148,2004-01-14,377.3251,1718.1913
271,14.056,2004-01-15,376.26846,1724.213
272,14.203,2004-01-16,376.03125,1728.9672
273,14.077,2004-01-17,375.60013,1729.5094
274,14.139,2004-01-18,376.00717000000003,1728.6038
275,14.203,2004-01-19,376.12842,1729.9988
276,14.233,2004-01-21,375.77158,1725.3109
277,14.237,2004-01-22,376.5073,1731.2987
278,14.32,2004-01-23,376.43453999999997,1728.9053
279,14.321,2004-01-24,376.6007,1732.1268
280,14.217,2004-01-25,375.75256,1724.6865
281,14.321,2004-01-26,376.11136,1722.8048
282,14.366,2004-01-27,376.9038,1731.575
283,14.342,2004-01-28,376.42572,1723.9146
284,14.337,2004-01-29,376.56653,1728.1421
285,14.28,2004-01-30,377.3505,1734.4125
286,14.397,2004-01-31,377.0058,1736.0826
287,14.36,2004-02-01,376.1212,1731.5925
288,14.389,2004-02-02,376.1989,1734.957
289,14.497,2004-02-03,376.6303,1730.9861
290,14.515,2004-02-04,375.1467,1714.0447
291,14.53,2004-02-05,376.57568,1733.6173
292,14.564,2004-02-06,376.72266,1734.9475
293,14.691,2004-02-07,375.95724,1734.2256
294,14.692,2004-02-08,377.06277,1729.8787
295,14.787,2004-02-09,376.72232,1735.2056
296,14.827,2004-02-10,376.69513,1730.2666
297,14.862,2004-02-11,377.23407000000003,1735.6864
298,14.947,2004-02-12,377.57507000000004,1734.9656
299,15.021,2004-02-13,376.1085,1732.2806
300,15.024,2004-02-14,377.44684,1736.6105
301,15.034,2004-02-15,377.51566,1738.4418
302,15.029,2004-02-16,376.56165,1736.7258
303,15.037,2004-02-17,376.19802999999996,1733.7854
304,15.028,2004-02-18,376.8003,1730.2902
305,15.088,2004-02-19,375.84036000000003,1732.3492
306,15.082,2004-02-20,375.80023,1731.9703
307,15.147,2004-02-21,376.69446,1736.4055
308,15.165,2004-02-22,376.33408,1733.3821
309,15.15,2004-02-23,376.5315,1732.8756
310,15.169,2004-02-24,377.68707,1741.0044
311,15.144,2004-02-25,376.52527000000003,1736.7522
312,15.169,2004-02-26,375.77997,1736.1725
313,15.185,2004-02-27,376.81137,1741.8888
314,15.187,2004-02-28,377.96616,1742.0432
315,15.197,2004-02-29,376.95416,1738.0651
316,15.104,2004-03-01,376.20605,1740.8816
317,15.068,2004-03-02,377.65137000000004,1740.1882
318,15.052,2004-03-03,376.88007000000005,1731.3570000000002
319,15.004,2004-03-04,377.22156,1734.5939
320,15.04,2004-03-05,377.29453,1742.2528
321,15.117,2004-03-06,377.0479,1738.9578
322,15.157,2004-03-07,376.87088,1735.6923
323,15.161,2004-03-08,377.99542,1738.1442
324,15.269,2004-03-09,377.7749,1738.9187
325,15.3,2004-03-10,376.9423,1742.5155
326,15.191,2004-03-11,377.19684,1739.0201
327,15.085,2004-03-12,377.86945,1739.6366
328,14.854,2004-03-13,377.6017,1738.7817
329,14.89,2004-03-14,376.63974,1739.2078
330,14.908,2004-03-15,378.16406,1741.0101
331,14.944,2004-03-16,376.1423,1737.2865
332,15.013,2004-03-17,376.51572000000004,1739.757
333,14.943,2004-03-18,377.94522,1743.9954
334,14.941,2004-03-19,376.343,1738.5669
335,14.955,2004-03-20,376.839,1740.2941
336,14.954,2004-03-21,376.7142,1741.3297
337,14.844,2004-03-22,376.541,1740.0139
338,14.824,2004-03-23,376.1855,1736.65
339,14.882,2004-03-24,376.46994,1743.2177
340,14.958,2004-03-25,376.28345,1739.9369
341,15.048,2004-03-26,375.30032,1736.9393
342,15.016,2004-03-27,376.47583,1740.3615
343,14.83,2004-03-28,376.98022000000003,1740.9407
344,14.793,2004-03-29,375.08783,1741.6677
345,14.784,2004-03-30,376.25293,1745.9839
346,14.841,2004-03-31,379.1352,1744.4224
347,14.742,2004-04-01,372.51232999999996,1740.362
348,14.735,2004-04-02,375.5469,1744.1271
349,14.68,2004-04-03,377.90707000000003,1742.7489
350,14.682,2004-04-04,376.3901,1744.0917
351,14.669,2004-04-05,378.19934,1743.3032
352,14.595,2004-04-06,378.19223,1744.3934
353,14.504,2004-04-07,375.47857999999997,1744.8375
354,14.461,2004-04-08,376.0202,1747.1584
355,14.421,2004-04-09,378.13107,1744.7557
356,14.325,2004-04-10,377.1686,1745.3872
