Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2009","2009","?C","0.934","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2010","2010","?C","2.056","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2011","2011","?C","1.564","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2012","2012","?C","-0.182","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2013","2013","?C","1.441","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2014","2014","?C","0.982","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2015","2015","?C","-0.876","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2016","2016","?C","-1.597","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2017","2017","?C","0.529","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2018","2018","?C","0.744","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2019","2019","?C","-0.47","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2020","2020","?C","-0.308","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7002","February","1961","1961","?C","-0.471","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7002","February","1962","1962","?C","-1.047","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7002","February","1963","1963","?C","-1.16","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7002","February","1964","1964","?C","-0.965","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7002","February","1965","1965","?C","0.538","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7002","February","1966","1966","?C","-0.1","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7002","February","1967","1967","?C","0.27","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7002","February","1968","1968","?C","0.281","Fc","Calculated data"
